epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.725,1.66407,3.43311,2.07463,0.10334,0.33842,0.21223,0.10245,1.22817,3.71071,1.78657,0.000327684,0.000327684,0.000327684
2,98.7171,1.36928,2.78991,1.77923,0.68489,0.27428,0.27718,0.1532,1.3408,3.08504,2.04332,0.000647929,0.000647929,0.000647929
3,147.164,1.38543,2.61298,1.8317,0.82196,0.33402,0.36063,0.18802,1.43505,3.51012,2.12418,0.000954974,0.000954974,0.000954974
4,194.684,1.39491,2.47159,1.83558,0.7036,0.25221,0.25759,0.11763,1.63776,5.55961,2.42436,0.0009406,0.0009406,0.0009406
5,242.438,1.42443,2.32055,1.81143,0.60433,0.27064,0.31123,0.15688,1.45206,4.95871,2.12035,0.0009208,0.0009208,0.0009208
6,292.17,1.3337,2.26403,1.74175,0.64497,0.30139,0.3423,0.19568,1.34117,2.70697,1.94326,0.000901,0.000901,0.000901
7,340.104,1.31186,2.1958,1.75313,0.46523,0.4772,0.45639,0.25205,1.3334,3.00246,1.97864,0.0008812,0.0008812,0.0008812
8,387.317,1.32518,2.11677,1.74616,0.52394,0.43089,0.47954,0.23341,1.44541,2.6654,2.15909,0.0008614,0.0008614,0.0008614
9,435.215,1.31855,2.05752,1.71977,0.47148,0.44612,0.3766,0.21275,1.3553,2.60087,1.99563,0.0008416,0.0008416,0.0008416
10,483.983,1.3443,2.02271,1.72062,0.57273,0.51323,0.59408,0.29111,1.42355,2.2863,2.02457,0.0008218,0.0008218,0.0008218
11,531.27,1.37827,2.12735,1.78896,0.43285,0.58618,0.54486,0.29419,1.38224,2.3077,1.98599,0.000802,0.000802,0.000802
12,579.85,1.31875,1.98027,1.7017,0.4067,0.70539,0.60121,0.31061,1.44547,2.24575,2.03038,0.0007822,0.0007822,0.0007822
13,628.263,1.26402,1.80618,1.65039,0.64594,0.47172,0.53902,0.3081,1.41371,2.1002,1.98669,0.0007624,0.0007624,0.0007624
14,676.286,1.26153,1.91189,1.66293,0.74591,0.47881,0.58432,0.31023,1.36418,2.24613,1.99402,0.0007426,0.0007426,0.0007426
15,725.613,1.29004,1.95674,1.72417,0.65678,0.53199,0.54215,0.28795,1.38971,2.05765,1.99497,0.0007228,0.0007228,0.0007228
16,774.684,1.25444,1.86579,1.66904,0.65935,0.55309,0.60471,0.38062,1.18472,1.95736,1.77009,0.000703,0.000703,0.000703
17,823.824,1.22218,1.81461,1.6493,0.66205,0.57228,0.62573,0.39876,1.34902,2.03723,1.93365,0.0006832,0.0006832,0.0006832
18,871.76,1.23824,1.71045,1.64644,0.64275,0.61004,0.66419,0.40182,1.39304,1.79844,1.97037,0.0006634,0.0006634,0.0006634
