filepath,filename,folder_category,inferred_category,final_category,product,arabic_name,souk_location,price_min_mad,price_max_mad,price_range,notes,width_px,height_px,size_kb,hash,annotated,annotation_file
marrakech_dataset\textiles\bing\000001.jpg,000001.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,938,223.6,71e96162a1,no,
marrakech_dataset\textiles\bing\000002.jpg,000002.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,328.9,1d5818eaf9,no,
marrakech_dataset\textiles\bing\000003.jpg,000003.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,837,1390,279.8,b030d83a77,no,
marrakech_dataset\textiles\bing\000004.jpg,000004.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,382.2,3a7eca2b09,no,
marrakech_dataset\textiles\bing\000005.jpg,000005.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,959,261.6,ea4cfe8952,no,
marrakech_dataset\textiles\bing\000006.jpg,000006.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,865,1390,259.1,c68b2ddaa0,no,
marrakech_dataset\textiles\bing\000007.jpg,000007.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,955,355.4,67fddaee18,no,
marrakech_dataset\textiles\bing\000008.jpg,000008.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,369.2,4160f048c0,no,
marrakech_dataset\textiles\bing\000009.jpg,000009.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,898,1390,213.2,9ca071e399,no,
marrakech_dataset\textiles\bing\000010.jpg,000010.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,990,284.5,ff16da773b,no,
marrakech_dataset\textiles\bing\000011.jpg,000011.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,800,450,113.6,f05a2a2a09,no,
marrakech_dataset\textiles\bing\000012.jpg,000012.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,278.2,2a83f4db63,no,
marrakech_dataset\textiles\bing\000013.jpg,000013.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,959,387.0,443e942719,no,
marrakech_dataset\textiles\bing\000014.jpg,000014.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,959,960,363.6,7d14e63874,no,
marrakech_dataset\textiles\bing\000015.jpg,000015.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,650,435,165.2,e331af98a0,no,
marrakech_dataset\textiles\bing\000016.jpg,000016.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,292.9,d9d0394d24,no,
marrakech_dataset\textiles\bing\000017.jpg,000017.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,341.4,6850bf9021,no,
marrakech_dataset\textiles\bing\000018.jpg,000018.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,864,1390,314.7,69815f338b,no,
marrakech_dataset\textiles\bing\000019.jpg,000019.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,2592,1944,1002.2,67b95f6aca,no,
marrakech_dataset\textiles\bing\000020.jpg,000020.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,357.0,6d9ca695f5,no,
marrakech_dataset\textiles\bing\000021.jpg,000021.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1024,768,183.5,2ed9179a78,no,
marrakech_dataset\textiles\bing\000022.jpg,000022.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,113.8,4e90ef3354,no,
marrakech_dataset\textiles\bing\000023.jpg,000023.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1200,797,99.7,d97b7f357f,no,
marrakech_dataset\textiles\bing\000024.jpg,000024.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,352,626,60.7,c4170922c7,no,
marrakech_dataset\textiles\bing\000025.jpg,000025.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,2500,3334,1816.9,05ad24e6c9,no,
marrakech_dataset\textiles\bing\000026.jpg,000026.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1000,800,221.2,8807e71a67,no,
marrakech_dataset\textiles\bing\000027.jpg,000027.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,750,533,75.7,bbb60217e8,no,
marrakech_dataset\textiles\bing\000028.jpg,000028.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,810,454,76.4,bf62a5f459,no,
marrakech_dataset\textiles\bing\000029.jpg,000029.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,479,297,31.2,ec389fb3f6,no,
marrakech_dataset\textiles\bing\000030.jpg,000030.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1024,576,165.3,bbb020504c,no,
marrakech_dataset\textiles\bing\000031.jpg,000031.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,206,49.0,d2d85c6bdf,no,
marrakech_dataset\textiles\bing\000032.jpg,000032.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,30.6,dd444ae538,no,
marrakech_dataset\textiles\bing\000033.jpg,000033.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,38.5,3c3c23c565,no,
marrakech_dataset\textiles\bing\000034.jpg,000034.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,52.2,dd8f9a6fae,no,
marrakech_dataset\textiles\bing\000035.jpg,000035.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,43.9,d0d064879c,no,
marrakech_dataset\textiles\bing\000036.jpg,000036.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1200,628,189.9,1f42332929,no,
marrakech_dataset\textiles\bing\000037.jpg,000037.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1000,437,48.7,b0b9367077,no,
marrakech_dataset\textiles\bing\000038.jpg,000038.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,600,363,22.2,6febe02f12,no,
marrakech_dataset\textiles\bing\000039.jpg,000039.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,736,981,198.9,ea5d6b14a2,no,
marrakech_dataset\textiles\bing\000040.jpg,000040.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,1065,200.0,d79762c408,no,
marrakech_dataset\textiles\bing\000041.jpg,000041.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1500,957,133.5,232f4eebdd,no,
marrakech_dataset\textiles\bing\000042.jpg,000042.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,600,330,43.3,b2b10283b9,no,
marrakech_dataset\textiles\bing\000043.jpg,000043.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,245.6,88b352f800,no,
marrakech_dataset\textiles\bing\000044.jpg,000044.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,352,18.9,2aaa2c0baf,no,
marrakech_dataset\textiles\bing\000045.jpg,000045.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1170,1560,251.8,504d0de20f,no,
marrakech_dataset\textiles\bing\000046.jpg,000046.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1000,728,152.2,de8297ac85,no,
marrakech_dataset\textiles\bing\000047.jpg,000047.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1157,296.8,f98b895bb4,no,
marrakech_dataset\textiles\bing\000048.jpg,000048.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,3000,3000,1155.8,1c476773a0,no,
marrakech_dataset\textiles\bing\000049.jpg,000049.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1157,381.3,5ced34b2fc,no,
marrakech_dataset\textiles\bing\000050.jpg,000050.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,700,400,35.0,3eb04bcc58,no,
marrakech_dataset\textiles\bing\000051.jpg,000051.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,267.0,9bd5200714,no,
marrakech_dataset\textiles\bing\000052.jpg,000052.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,955,355.4,67fddaee18,no,
marrakech_dataset\textiles\bing\000053.jpg,000053.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,428.0,49f7a0492a,no,
marrakech_dataset\textiles\bing\000054.jpg,000054.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,2592,1944,1092.8,6412475bfd,no,
marrakech_dataset\textiles\bing\000055.jpg,000055.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,1065,226.5,2ea4fdd810,no,
marrakech_dataset\textiles\bing\000056.jpg,000056.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,940,234.2,00b50968d6,no,
marrakech_dataset\textiles\bing\000057.jpg,000057.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,960,387.6,5cb989e409,no,
marrakech_dataset\textiles\bing\000058.jpg,000058.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,957,425.3,fb35a31c2c,no,
marrakech_dataset\textiles\bing\000059.jpg,000059.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,220.1,39dee37798,no,
marrakech_dataset\textiles\bing\000060.jpg,000060.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,255.2,68134e7d5b,no,
marrakech_dataset\textiles\bing\000061.jpg,000061.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,865,1390,259.1,c68b2ddaa0,no,
marrakech_dataset\textiles\bing\000062.jpg,000062.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,800,534,103.8,bbbd4f1644,no,
marrakech_dataset\textiles\bing\000063.jpg,000063.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,800,534,140.2,fcb4baba41,no,
marrakech_dataset\textiles\bing\000064.jpg,000064.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,964,1390,433.7,0678200e9c,no,
marrakech_dataset\textiles\bing\000065.jpg,000065.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,2592,1944,1002.2,67b95f6aca,no,
marrakech_dataset\textiles\bing\000066.jpg,000066.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,957,231.8,ed40106c34,no,
marrakech_dataset\textiles\bing\000067.jpg,000067.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,295.1,12e7cc1b81,no,
marrakech_dataset\textiles\bing\000068.jpg,000068.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,720,1280,185.7,0707443fb8,no,
marrakech_dataset\textiles\bing\000069.jpg,000069.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1018,600,300.8,b503895d9a,no,
